"Prepping the parts car, 1978 280Z 2+2",prepping-the-parts-car-1978-280z-22,"<object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/qk2g8DB8lDo""></param><embed src=""http://www.youtube.com/v/qk2g8DB8lDo"" type=""application/x-shockwave-flash"" width=""600"" height=""350""></embed></object>",2007-01-29 00:00:00.000,html,,,/Video/itemId/7/Prepping-the-parts-car-1978-280Z-22
Prepping for pulling the motor out of the Datsun 240z,prepping-for-pulling-the-motor-out-of-the-datsun,"<object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/mfdQASxI0Mc""></param><embed src=""http://www.youtube.com/v/mfdQASxI0Mc"" type=""application/x-shockwave-flash"" width=""600"" height=""350""></embed></object>  ",2007-01-29 00:00:00.000,html,,,/Video/itemId/8/Prepping-for-pulling-the-motor-out-of-the-Datsun
Pulling the motor out of the Project 240z,pulling-the-motor-out-of-the-project-240z,"<object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/KKmMYhwZrMU""></param><embed src=""http://www.youtube.com/v/KKmMYhwZrMU"" type=""application/x-shockwave-flash"" width=""600"" height=""350""></embed></object>",2007-01-30 00:00:00.000,html,,,/Video/itemId/9/Pulling-the-motor-out-of-the-Project-240z
New Garage Organization 2-17,new-garage-organization-2-17,"<embed src=""http://www.youtube.com/v/iRMes1B9v6g"" width=""600"" height=""350"" type=""application/x-shockwave-flash""></embed>",2007-02-18 00:00:00.000,html,,,/Video/itemId/10/New-Garage-Organization-2-17
Parts Car draining the fluids 2-23,parts-car-draining-the-fluids-2-23,"<embed src=""http://www.youtube.com/v/xMh0b4KT2uo"" width=""425"" height=""350"" type=""application/x-shockwave-flash""></embed>",2007-02-24 00:00:00.000,html,,,/Video/itemId/11/Parts-Car-draining-the-fluids-2-23
Project 240Z Day 1 of Parts Car Motor Pull 2-24,project-240z-day-1-of-parts-car-motor-pull-2-24,"<embed src=""http://www.youtube.com/v/wg3TtYe1TEg"" width=""425"" height=""350"" type=""application/x-shockwave-flash""></embed>",2007-02-24 00:00:00.000,html,,,/Video/itemId/12/Project-240Z-Day-1-of-Parts-Car-Motor-Pull-2-24
Project 240Z Day 2 of Parts Car Motor Pull,project-240z-day-2-of-parts-car-motor-pull,"<embed src=""http://www.youtube.com/v/1iXI_6gU88s"" width=""425"" height=""350"" type=""application/x-shockwave-flash""></embed>Thanks to Terec for coming over today and helping me get the motor pulled out of the 78 280Z 2+2 parts car today!",2007-02-25 00:00:00.000,html,,,/Video/itemId/13/Project-240Z-Day-2-of-Parts-Car-Motor-Pull
"Parts car interior removal, day 1",parts-car-interior-removal-day-1,"<p>I spent some time today, though not too long, removing interior items from the 280Z today.</p><object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/kT3JOKqYCIY""></param><embed src=""http://www.youtube.com/v/kT3JOKqYCIY"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-03-03 00:00:00.000,html,,,/Video/itemId/14/Parts-car-interior-removal-day-1
240Z Engine Bay Cleanup,240z-engine-bay-cleanup,"<P>I spent a few hours on Sunday the 18th of March cleaning up the engine bay of&nbsp;my 1973 240Z.</P>  <p>Next week I hope to paint the engine bay and begin the process of putting the Turbo motor back in the car.  </p><P>&nbsp;</P>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/ANz9qkmFiy0""></param><embed src=""http://www.youtube.com/v/ANz9qkmFiy0"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-03-18 00:00:00.000,html,,,/Video/itemId/15/240Z-Engine-Bay-Cleanup
Bondo and Gas Tank Removal,bondo-and-gas-tank-removal,"<p>I sanded the area that I bondo'd yesterday on the 240Z. I also then cleaned and sprayed it with primer. Now the Project 240Z officially consists of 6, count them 6, colors. Blue, orange, white, black, brown, and grey. After that I removed the gas tank so I can have that cleaned up like we had done with the radiator last week.    </p>    <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/7nKCMSlfkio""></param><embed src=""http://www.youtube.com/v/7nKCMSlfkio"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-04-01 00:00:00.000,html,,,/Video/itemId/16/Bondo-and-Gas-Tank-Removal
New Toolbench Setup,new-toolbench-setup,"<P>Saturday I spent a few hours fixing up the garage. I got the new toolbox together, and some other items organized. I also filled the trashcan, I guess it's time to get another trashcan! </P>  <P>&nbsp;</P>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/Qdq2hwSSFyU""></param><embed src=""http://www.youtube.com/v/Qdq2hwSSFyU"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-04-29 00:00:00.000,html,,,/Video/itemId/17/New-Toolbench-Setup
Project 240Z Brakes and Unecessary items,project-240z-brakes-and-unecessary-items,"<P>Russ helped me yesterday afternoon and last night with quite a few things on the car. We removed all of the brakes so I can get those turned. Then we started fabricating blockoff plates for the various vacuum and emission lines that will be removed from the car.</P>  <P>&nbsp;</P>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/bA9hja9JIA4""></param><embed src=""http://www.youtube.com/v/bA9hja9JIA4"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-04-29 00:00:00.000,html,,,/Video/itemId/18/Project-240Z-Brakes-and-Unecessary-items
Project 240Z Rally Bug Welder Arrives,project-240z-rally-bug-welder-arrives,"<P>Mark from The Rally Bug (<A href=""http://www.321govideo.com/rallybug""><U><FONT color=#0000ff>http://www.321govideo.com/rallybug</FONT></U></A>) stopped by tonight and dropped off his welder for me to borrow for a week. He was also kind enough to give me some brief lessons as it's been a while (proly 10 years) since I've welded anything!</P>  <P>Thanks Mark for your help tonight, now I can get going on some Major items for the 240z!</P>  <P>&nbsp;</P>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/W8OyGwIlK-k""></param><embed src=""http://www.youtube.com/v/W8OyGwIlK-k"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-05-01 00:00:00.000,html,,,/Video/itemId/19/Project-240Z-Rally-Bug-Welder-Arrives
Cleaning up the Passenger Floor,cleaning-up-the-passenger-floor,"<p>I spent about an hour tonight working on the passenger floorboard of the 240Z. It's got a bit of rust, to say the least.</p>  <p>&nbsp;</p>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/qvV-b7SJ_UA""></param><embed src=""http://www.youtube.com/v/qvV-b7SJ_UA"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-05-01 00:00:00.000,html,,,/Video/itemId/20/Cleaning-up-the-Passenger-Floor
240Z Throttle Linkage and Bodywork,240z-throttle-linkage-and-bodywork,"<p>Dad and I spent some time creating a new throttle linkage as the old one off the parts car wouldn't fit on this firewall. After that I had to put the front end together just to see it start to look like a car.</p>    <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/gUx4mhIfb38""></param><embed src=""http://www.youtube.com/v/gUx4mhIfb38"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-05-06 00:00:00.000,html,,,/Video/itemId/21/240Z-Throttle-Linkage-and-Bodywork
240Z Floorpan work,240z-floorpan-work,"<p>Dad and I spent today working on repairing the floorpan in the Project 240Z. It was a learning experience as I haven't really welded before, just a little practice here and there. After that we put the thermostat a backtogether.</p>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/OdNaHEqvKno""></param><embed src=""http://www.youtube.com/v/OdNaHEqvKno"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-05-06 00:00:00.000,html,,,/Video/itemId/22/240Z-Floorpan-work
240Z Intake Manifold Bolts...,240z-intake-manifold-bolts,"<p>I spent tonight removing 3 bolts off the turbo (of 4) and one intake manifold bold, as well as two heat shield bolts and the destruction of another heat shield bolt. This weekend the motor comes out again...</p>  <p<object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/WDRsQYWPIkQ""></param><embed src=""http://www.youtube.com/v/WDRsQYWPIkQ"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object></p>",2007-06-15 01:37:36.000,html,,,/Video/itemId/23/240Z-Intake-Manifold-Bolts
"Engine Removal, Video 1 of 2",engine-removal-video-1-of-2,"<p>I got the motor out of the car again yesterday, here's the video! First half is motor removal, second half is me and Eric working on removing the intake manifold, exhaust manifold and turbo.</p>  <p><object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/KtoVDHAM91k""></param><embed src=""http://www.youtube.com/v/KtoVDHAM91k"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object></p>",2007-06-17 21:51:01.000,html,,,/Video/itemId/24/Engine-Removal-Video-1-of-2
P240Z Rollin till the wheels fall off,p240z-rollin-till-the-wheels-fall-off,"<p>Eric and I put the brakes back together, got the wheels on the car, roll it out of the garage, turn it around, roll it back in, then start cutting out the rear to mount the fuel cell.</p>  <p>&nbsp;</p>  <object width=""425"" height=""350""><param name=""movie"" value=""http://www.youtube.com/v/4_NQWyOS07E""></param><embed src=""http://www.youtube.com/v/4_NQWyOS07E"" type=""application/x-shockwave-flash"" width=""425"" height=""350""></embed></object>",2007-06-26 10:39:06.000,html,,,/Video/itemId/25/P240Z-Rollin-till-the-wheels-fall-off
